41.0783,-0.19793,0.03,-0.05,1.06,65.9900049988097
41.0794,-0.1999,0.02,-0.1,1,71.9201598477037
41.0794,-0.20039,-0.03,-0.19,1.02,77.7312123996804
41.0791,-0.20095,-0.03,-0.18,1.02,83.365100538519
41.0786,-0.20192,0,-0.02,0.94,88.7655323162522
41.0786,-0.20278,-0.15,0,0.98,93.8785484037021
41.0788,-0.20393,-0.06,-0.03,1.06,98.6530612342615
41.0793,-0.20483,0.02,0,0.84,103.041365453971
41.0806,-0.20531,0.03,-0.02,0.84,106.999614577649
41.082,-0.20556,0,-0.08,1.21,110.488259088474
41.0824,-0.20627,0.02,0.05,0.82,113.472441603686
41.0824,-0.20694,-0.03,0.18,1.19,115.922345158034
41.0818,-0.20754,0.08,-0.02,1.05,117.813491125032
41.0811,-0.2078,-0.05,-0.02,1.11,119.126983799308
41.0802,-0.20861,-0.03,-0.19,1.08,119.849699196243
41.0799,-0.20938,-0.02,-0.03,0.94,119.97441618249
41.0802,-0.21013,-0.05,0.02,1.1,119.499888627148
41.0818,-0.21054,0,0.05,0.74,118.430857852692
41.0834,-0.2108,-0.11,0,1.06,116.778005261245
41.0839,-0.21016,-0.11,-0.08,0.95,114.557845609541
41.0843,-0.21086,-0.05,0,0.94,111.792561998932
41.0843,-0.21147,-0.15,-0.27,0.98,108.509784229175
41.0841,-0.21237,-0.06,-0.03,0.82,104.742312730603
41.0835,-0.21295,-0.13,-0.18,1.13,100.527790833069
41.0825,-0.21288,-0.02,-0.05,0.76,95.9083286462374
41.0817,-0.21273,-0.1,0,1.42,90.9300823092879
41.0809,-0.21245,-0.16,-0.16,0.95,85.6427928140298
41.0802,-0.21202,-0.02,0.21,1.23,80.0992890093543
41.0795,-0.21149,-0.03,-0.1,1,74.3549597528389
41.079,-0.21095,-0.05,0.11,1.08,68.467200483592
41.079,-0.21018,-0.15,-0.26,0.98,62.4948397459974
41.0792,-0.20943,0,0.05,1.06,56.4975513943452
41.0793,-0.20878,-0.15,-0.16,0.97,50.5352583514051
41.0789,-0.20814,-0.03,0,1.05,44.6675338783901
41.0785,-0.2075,-0.11,-0.11,1.15,38.9530063386228
41.0781,-0.20713,0,-0.03,0.94,33.4487734023088
41.0776,-0.20739,-0.06,0.1,1.29,28.2098315454904
41.0773,-0.20752,-0.08,-0.1,0.82,23.2885265434368
41.0768,-0.2058,-0.11,-0.06,1.35,18.7340304489616
41.0763,-0.20391,-0.06,-0.13,0.87,14.5918502815243
41.0759,-0.2022,0,0.19,1.16,10.9033733361354
41.0755,-0.20035,-0.02,-0.02,0.84,7.70545365518471
41.0752,-0.19913,0.02,0.15,1.08,5.03004379503269
41.0748,-0.19775,-0.03,0.08,0.81,2.90387556662903
41.0742,-0.19563,-0.02,0.1,1.1,1.34819294009418
41.0735,-0.1929,-0.05,-0.06,0.81,0.378539781992129
41.0739,-0.19278,-0.05,0,1.06,0.00460454615395012
41.074,-0.19312,-0.02,-0.1,0.81,0.230123469849566
41.0741,-0.19336,-0.06,-0.1,1.11,1.05284324254005
41.075,-0.194,-0.05,-0.13,0.76,2.46454352021169
41.076,-0.19415,-0.02,0,1.1,4.45111906033607
41.0766,-0.1949,0.02,-0.13,0.98,6.99272065679081
41.0772,-0.19608,-0.03,-0.08,0.92,10.063953466566
41.0783,-0.19793,0.03,-0.27,1.03,13.6341307466408
